,junsi_name,start,end,place
289,문영민 : 남은 사람들의 몫,2021.05.22.,2021.06.13.,산수문화
290,이희명 : 우연의 방,2021.06.02.,2021.06.22.,아트비트갤러리
291,전영진 : GEOMETRIC SCENERY,2021.06.02.,2021.06.26.,에브리아트
292,Lee.K : 언어의 부정,2021.05.27.,2021.06.16.,아트스페이스엣
293,장안의 리더들,2021.05.24.,2021.06.05.,장안평 자동차산업 종합정보센터
294,"이소영 : 차라리, 서로, 역시, 그래도, 있었습니다",2021.05.15.,2021.06.03.,온수공간
295,박종진 : Intensive Black,2021.05.10.,2021.06.04.,갤러리 마노
296,윤가림 : Tactile Hours,2021.05.20.,2021.06.06.,스페이스 윌링앤딜링
297,UD 라이프스타일 플랫폼 (UDP),2021.02.24.,2022.12.31.,동대문디자인플라자
298,김예랑 : 화지몽,2021.05.26.,2021.06.08.,프린트베이커리 삼청점
299,박승훈 : Travelog:UK,2021.05.07.,2021.06.04.,표갤러리
300,환영합니다,2021.04.30.,오픈런,롯데백화점 본점
301,컬러풀뮤지엄,2021.01.06.,오픈런,컬러풀뮤지엄
302,디자인아트페어 2021,2021.05.13.,2021.06.05.,예술의전당한가람미술관
303,서홍석 : 시간을 담다,2021.05.14.,2021.06.03.,갤러리 내일
304,"에르메스, 가방 이야기",2021.05.22.,2021.06.06.,디뮤지엄
305,허유진 : 플라스틱 다이아몬드,2021.05.29.,2021.06.19.,이길이구 갤러리
306,"케테 콜비츠 : 아가, 봄이 왔다",2021.04.24.,2022.03.07.,포도뮤지엄
307,너와 내가 만든 세상,2021.04.24.,2022.03.07.,포도뮤지엄
308,미술관 옆 동물원,2021.05.25.,2021.06.06.,비움갤러리
309,권혜조 : With you,2021.05.26.,2021.06.16.,써포먼트갤러리
310,"모네, 르누아르... 샤갈 지중해의 화가들",2021.04.23.,2022.02.28.,빛의 벙커
311,손뼉 치며 감탄하네 : 김홍도의 풍속도첩,2020.05.06.,2021.07.25.,국립중앙박물관
312,"그대, 나의 뮤즈",2021.01.27.,2022.01.30.,제주신화월드 서머셋클럽하우스
